,Subject,Course,Year,#_Stu_Enrolled,#_Stu_Responses,AvgHrsPerWk,AvgPriorInt,AvgInstrEffect,AvgAvailability,AvgChallenge,AvgLearned,AvgInstrRespect,AvgCourse,AvgInstructor,Std_Dev_Course,Std_Dev_Instr
0,ACCT,2820,2013.0,24.0,16.0,4.1,4.35,5.25,5.4,4.55,5.3,5.95,5.35,5.6,0.65,0.55
1,ACCT,3220,2014.3240740740741,36.71296296296296,27.35185185185185,3.2002777777777776,3.7347222222222225,4.933888888888889,5.372777777777778,5.171388888888891,5.0256481481481465,5.831851851851847,4.739629629629629,5.26814814814815,1.014259259259259,0.8805555555555555
2,ACCT,3225,2014.0,13.5,12.5,3.8333333333333335,4.383333333333333,5.183333333333334,5.633333333333333,5.366666666666666,5.3999999999999995,5.916666666666667,5.1499999999999995,5.383333333333334,0.8833333333333333,0.7666666666666667
3,ACCT,3230,2014.576923076923,33.32692307692308,23.942307692307693,3.6530769230769233,4.252115384615384,4.828269230769231,5.380192307692307,5.575576923076923,5.237500000000001,5.80923076923077,4.763269230769231,5.175192307692308,1.0315384615384613,0.931923076923077
4,ACCT,3320,2014.549019607843,35.19607843137255,26.941176470588236,2.78156862745098,3.695490196078432,4.594313725490196,5.168823529411764,4.5296078431372555,4.618627450980393,5.767647058823529,4.465686274509804,4.9619607843137254,1.1049019607843138,1.0980392156862744
5,ACCT,3440,2016.8076923076924,42.88461538461539,31.26923076923077,2.873076923076923,3.784230769230769,5.551538461538461,5.660769230769231,4.921153846153847,5.404230769230769,5.857307692307694,5.272307692307693,5.630000000000001,0.7761538461538459,0.5203846153846153
6,ACCT,4240,2015.0,21.88888888888889,17.814814814814813,3.9877777777777768,4.341481481481481,4.918518518518518,5.324814814814814,5.808518518518518,5.441481481481482,5.839629629629631,5.020370370370371,5.297037037037036,0.8533333333333333,0.9096296296296297
7,ACCT,4250,2014.3529411764705,35.88235294117647,26.058823529411764,2.6541176470588232,4.404117647058822,3.899999999999999,4.722941176470588,4.351176470588236,3.994705882352941,5.585294117647059,3.8882352941176466,4.119411764705881,1.2529411764705882,1.3535294117647059
8,ACCT,4330,2014.0,25.333333333333332,21.333333333333332,3.266666666666666,4.066666666666666,4.6,5.666666666666667,4.966666666666668,4.633333333333334,5.966666666666666,4.5,4.933333333333334,1.3,1.4333333333333336
9,ACCT,4440,2011.909090909091,41.81818181818182,35.18181818181818,2.8272727272727276,4.127272727272726,5.554545454545456,5.490909090909091,4.7,5.363636363636363,5.945454545454544,5.372727272727273,5.672727272727273,0.709090909090909,0.5272727272727273
10,ACCT,4540,2014.7692307692307,33.92307692307692,25.153846153846153,2.266923076923077,3.4400000000000004,3.753076923076923,4.413846153846153,3.891538461538462,3.5961538461538463,5.296923076923077,3.529230769230769,3.8984615384615386,1.4346153846153844,1.616153846153846
11,ACCT,4620,2014.6129032258063,30.419354838709676,26.35483870967742,2.8703225806451615,4.16258064516129,5.349354838709676,5.310967741935484,4.724838709677419,5.159354838709676,5.874516129032259,5.223870967741936,5.568709677419355,0.8441935483870968,0.696774193548387
12,ACCT,4700,2010.5,26.5,25.0,3.25,4.3,4.45,4.9,4.45,4.15,5.75,4.2,4.5,1.0,1.1
13,ACCT,4800,2012.4,24.0,22.6,3.06,3.4200000000000004,4.339999999999999,5.42,4.540000000000001,4.76,5.840000000000001,4.46,4.959999999999999,1.22,1.1599999999999997
14,ACCT,4820,2013.7,27.7,25.8,2.4500000000000006,4.069999999999999,4.8500000000000005,5.17,4.41,4.9399999999999995,5.529999999999999,4.91,5.029999999999999,1.01,0.9099999999999999
15,ACCT,4821,2017.0,51.0,43.0,2.4,4.5,3.4,3.3,3.9,4.0,5.5,3.8,3.2,1.5,1.5
16,ACCT,4825,2011.0,25.0,22.0,2.6,4.2,5.5,5.9,5.1,5.2,6.0,5.3,5.9,0.6,0.4
17,ACCT,4827,2018.5,17.0,9.0,2.0,3.75,5.25,5.8,4.45,4.949999999999999,5.95,4.8,5.5,0.75,0.75
18,ACCT,4850,2015.125,29.90625,22.59375,2.6965625,3.945,5.121250000000002,5.279375,4.214687500000001,4.994999999999998,5.7809375,4.95125,5.2231250000000005,1.1219354838709679,0.991290322580645
19,ACCT,5240,2018.5,22.5,12.5,3.45,3.65,3.9,4.8,5.800000000000001,5.0,5.5,4.25,4.199999999999999,1.1,1.35
20,ACCT,5250,2018.5,24.5,19.0,2.5,4.3,4.8,5.45,4.199999999999999,4.15,5.65,4.55,5.05,1.2999999999999998,0.9500000000000001
21,ACCT,5330,2012.0,8.0,6.0,3.4,4.7,5.5,5.7,5.7,5.8,6.0,5.8,6.0,0.4,0.0
22,ACCT,5450,2017.0,27.153846153846153,20.615384615384617,3.2553846153846155,3.9600000000000004,5.813846153846155,5.758461538461538,5.30076923076923,5.500769230769231,5.896923076923077,5.538461538461538,5.9338461538461535,0.5875,0.21
23,ACCT,5540,2018.5,25.0,19.5,2.1500000000000004,3.2,3.0999999999999996,3.85,3.3499999999999996,3.0,5.35,2.8,3.35,1.4,1.45
24,ACCT,5620,2018.3333333333333,22.0,10.0,2.566666666666667,4.5,5.266666666666667,4.8,4.6000000000000005,5.133333333333333,5.833333333333333,5.2,5.633333333333333,0.8000000000000002,0.6666666666666666
25,ACCT,5700,2014.5555555555557,47.44444444444444,41.666666666666664,2.4444444444444446,3.9777777777777774,5.0777777777777775,5.355555555555555,5.1,4.9111111111111105,5.844444444444445,4.966666666666665,5.2555555555555555,0.8555555555555556,0.8111111111111112
26,ACCT,5820,2018.0,30.0,25.0,2.6,3.8,4.4,5.1,3.6,4.6,4.9,4.7,4.7,1.3,1.4
